CHARACTERISTIC_ID,CHARACTERISTIC_NAME,Depth,Keep or Not Keep,Category,Flag,NEW_CHARACTERISTIC_NAME
1,"Population, 2021",0,Keep,summary,Summary,"Population, 2021"
2,"Population, 2016",0,Keep,summary,Summary,"Population, 2016"
3,"Population percentage change, 2016 to 2021",0,Keep,summary,Summary,"Population percentage change, 2016 to 2021"
4,Total private dwellings,0,Keep,summary,Summary,Total private dwellings
5,Private dwellings occupied by usual residents,0,Keep,summary,Summary,Private dwellings occupied by usual residents
6,Population density per square kilometre,0,Keep,summary,Summary,Population density per square kilometre
7,Land area in square kilometres,0,Keep,summary,Summary,Land area in square kilometres
8,Total - Age groups of the population - 100% data,0,Keep,age_groups_of_the_population,Total,Total - Age groups of the population - 100% data
9,  0 to 14 years,2,No Keep,age_groups_of_the_population,Category,0 to 14 years
10,    0 to 4 years,4,Keep,age_groups_of_the_population,Category,0 to 4 years
11,    5 to 9 years,4,Keep,age_groups_of_the_population,Category,5 to 9 years
12,    10 to 14 years,4,Keep,age_groups_of_the_population,Category,10 to 14 years
13,  15 to 64 years,2,No Keep,age_groups_of_the_population,Category,15 to 64 years
14,    15 to 19 years,4,Keep,age_groups_of_the_population,Category,15 to 19 years
15,    20 to 24 years,4,Keep,age_groups_of_the_population,Category,20 to 24 years
16,    25 to 29 years,4,Keep,age_groups_of_the_population,Category,25 to 29 years
17,    30 to 34 years,4,Keep,age_groups_of_the_population,Category,30 to 34 years
18,    35 to 39 years,4,Keep,age_groups_of_the_population,Category,35 to 39 years
19,    40 to 44 years,4,Keep,age_groups_of_the_population,Category,40 to 44 years
20,    45 to 49 years,4,Keep,age_groups_of_the_population,Category,45 to 49 years
21,    50 to 54 years,4,Keep,age_groups_of_the_population,Category,50 to 54 years
22,    55 to 59 years,4,Keep,age_groups_of_the_population,Category,55 to 59 years
23,    60 to 64 years,4,Keep,age_groups_of_the_population,Category,60 to 64 years
24,  65 years and over,2,No Keep,age_groups_of_the_population,Category,65 years and over
25,    65 to 69 years,4,Keep,age_groups_of_the_population,Category,65 to 69 years
26,    70 to 74 years,4,Keep,age_groups_of_the_population,Category,70 to 74 years
27,    75 to 79 years,4,Keep,age_groups_of_the_population,Category,75 to 79 years
28,    80 to 84 years,4,Keep,age_groups_of_the_population,Category,80 to 84 years
29,    85 years and over,4,No Keep,age_groups_of_the_population,Category,85 years and over
30,      85 to 89 years,6,Keep,age_groups_of_the_population,Category,85 to 89 years
31,      90 to 94 years,6,Keep,age_groups_of_the_population,Category,90 to 94 years
32,      95 to 99 years,6,Keep,age_groups_of_the_population,Category,95 to 99 years
33,      100 years and over,6,Keep,age_groups_of_the_population,Category,100 years and over
34,Total - Distribution (%) of the population by broad age groups - 100% data,0,Keep,summary,Summary,Total - Distribution (%) of the population by broad age groups - 100% data
35,  0 to 14 years,2,Keep,summary,Summary,0 to 14 years - Distribution (%) of the population by broad age groups 
36,  15 to 64 years,2,Keep,summary,Summary,15 to 64 years - Distribution (%) of the population by broad age groups 
37,  65 years and over,2,No Keep,summary,Summary,65 years and over - Distribution (%) of the population by broad age groups 
38,    85 years and over,4,Keep,summary,Summary,85 years and over - Distribution (%) of the population by broad age groups 
39,Average age of the population,0,Keep,summary,Summary,Average age of the population
40,Median age of the population,0,Keep,summary,Summary,Median age of the population
41,Total - Occupied private dwellings by structural type of dwelling - 100% data,0,Keep,occupied_private_dwellings_by_structural_type_of_dwelling,Total,Total - Occupied private dwellings by structural type of dwelling - 100% data
42,  Single-detached house,2,Keep,occupied_private_dwellings_by_structural_type_of_dwelling,Category,Single-detached house
43,  Semi-detached house,2,Keep,occupied_private_dwellings_by_structural_type_of_dwelling,Category,Semi-detached house
44,  Row house,2,Keep,occupied_private_dwellings_by_structural_type_of_dwelling,Category,Row house
45,  Apartment or flat in a duplex,2,Keep,occupied_private_dwellings_by_structural_type_of_dwelling,Category,Apartment or flat in a duplex
46,  Apartment in a building that has fewer than five storeys,2,Keep,occupied_private_dwellings_by_structural_type_of_dwelling,Category,Apartment in a building that has fewer than five storeys
47,  Apartment in a building that has five or more storeys,2,Keep,occupied_private_dwellings_by_structural_type_of_dwelling,Category,Apartment in a building that has five or more storeys
48,  Other single-attached house,2,Keep,occupied_private_dwellings_by_structural_type_of_dwelling,Category,Other single-attached house
49,  Movable dwelling,2,Keep,occupied_private_dwellings_by_structural_type_of_dwelling,Category,Movable dwelling
50,Total - Private households by household size - 100% data,0,Keep,private_household_by_household_size,Total,Total - Private households by household size - 100% data
51,  1 person,2,Keep,private_household_by_household_size,Category,1 person
52,  2 persons,2,Keep,private_household_by_household_size,Category,2 persons
53,  3 persons,2,Keep,private_household_by_household_size,Category,3 persons
54,  4 persons,2,Keep,private_household_by_household_size,Category,4 persons
55,  5 or more persons,2,Keep,private_household_by_household_size,Category,5 or more persons
56,Number of persons in private households,0,Keep,summary,Summary,Number of persons in private households
57,Average household size,0,Keep,summary,Summary,Average household size
58,Total - Marital status for the total population aged 15 years and over - 100% data,0,Keep,marital_status_for_the_total_population_aged_15_years_and_over,Total,Total - Marital status for the total population aged 15 years and over - 100% data
59,  Married or living common-law,2,No Keep,marital_status_for_the_total_population_aged_15_years_and_over,Category,Married or living common-law
60,    Married,4,Keep,marital_status_for_the_total_population_aged_15_years_and_over,Category,Married
61,    Living common-law,4,No Keep,marital_status_for_the_total_population_aged_15_years_and_over,Category,Living common-law
