dguid,alt_geo_code,geo_level,geo_name,parent_dguid
2021A000210,10,province,Newfoundland and Labrador,Canada
2021A000211,11,province,Prince Edward Island,Canada
2021A000212,12,province,Nova Scotia,Canada
2021A000213,13,province,New Brunswick,Canada
2021A000224,24,province,Quebec,Canada
2021A000235,35,province,Ontario,Canada
2021A000246,46,province,Manitoba,Canada
2021A000247,47,province,Saskatchewan,Canada
2021A000248,48,province,Alberta,Canada
2021A000259,59,province,British Columbia,Canada
2021A000260,60,province,Yukon,Canada
2021A000261,61,province,Northwest Territories,Canada
2021A000262,62,province,Nunavut,Canada
2021A00031001,1001,census division,"Division No.  1, Census division (CDR)",2021A000210
2021A00031002,1002,census division,"Division No.  2, Census division (CDR)",2021A000210
2021A00031003,1003,census division,"Division No.  3, Census division (CDR)",2021A000210
2021A00031004,1004,census division,"Division No.  4, Census division (CDR)",2021A000210
2021A00031005,1005,census division,"Division No.  5, Census division (CDR)",2021A000210
2021A00031006,1006,census division,"Division No.  6, Census division (CDR)",2021A000210
2021A00031007,1007,census division,"Division No.  7, Census division (CDR)",2021A000210
2021A00031008,1008,census division,"Division No.  8, Census division (CDR)",2021A000210
2021A00031009,1009,census division,"Division No.  9, Census division (CDR)",2021A000210
2021A00031010,1010,census division,"Division No. 10, Census division (CDR)",2021A000210
2021A00031011,1011,census division,"Division No. 11, Census division (CDR)",2021A000210
2021A00031101,1101,census division,"Kings, County (CTY)",2021A000211
2021A00031102,1102,census division,"Queens, County (CTY)",2021A000211
2021A00031103,1103,census division,"Prince, County (CTY)",2021A000211
2021A00031201,1201,census division,"Shelburne, County (CTY)",2021A000212
2021A00031202,1202,census division,"Yarmouth, County (CTY)",2021A000212
2021A00031203,1203,census division,"Digby, County (CTY)",2021A000212
2021A00031204,1204,census division,"Queens, County (CTY)",2021A000212
2021A00031205,1205,census division,"Annapolis, County (CTY)",2021A000212
2021A00031206,1206,census division,"Lunenburg, County (CTY)",2021A000212
2021A00031207,1207,census division,"Kings, County (CTY)",2021A000212
2021A00031208,1208,census division,"Hants, County (CTY)",2021A000212
2021A00031209,1209,census division,"Halifax, County (CTY)",2021A000212
2021A00031210,1210,census division,"Colchester, County (CTY)",2021A000212
2021A00031211,1211,census division,"Cumberland, County (CTY)",2021A000212
2021A00031212,1212,census division,"Pictou, County (CTY)",2021A000212
2021A00031213,1213,census division,"Guysborough, County (CTY)",2021A000212
2021A00031214,1214,census division,"Antigonish, County (CTY)",2021A000212
2021A00031215,1215,census division,"Inverness, County (CTY)",2021A000212
2021A00031216,1216,census division,"Richmond, County (CTY)",2021A000212
2021A00031217,1217,census division,"Cape Breton, County (CTY)",2021A000212
2021A00031218,1218,census division,"Victoria, County (CTY)",2021A000212
2021A00031301,1301,census division,"Saint John, County (CT)",2021A000213
2021A00031302,1302,census division,"Charlotte, County (CT)",2021A000213
2021A00031303,1303,census division,"Sunbury, County (CT)",2021A000213
2021A00031304,1304,census division,"Queens, County (CT)",2021A000213
2021A00031305,1305,census division,"Kings, County (CT)",2021A000213
2021A00031306,1306,census division,"Albert, County (CT)",2021A000213
2021A00031307,1307,census division,"Westmorland, County (CT)",2021A000213
2021A00031308,1308,census division,"Kent, County (CT)",2021A000213
2021A00031309,1309,census division,"Northumberland, County (CT)",2021A000213
2021A00031310,1310,census division,"York, County (CT)",2021A000213
